SrNum,Original_Time,Type,Dir,PatNum,From,To,CCGa,CCGd,MCTa,MCTd,DDRa,DDRd,BAa,BAd,ADHa,ADHd,GMNa,GMNd,BVIa,BVId,BYRa,BYRd,BSRa,BSRd,VRa,VRd,DRDa,DRDd,Optimized_Start_Time
31,513,fast,UP,PAT045,VR,BA,,,,,,,586.0,,577.0,577.0,,,562.0,562.0,550.0,550.0,541.0,541.0,,532.0,,,532.0
32,520,fast,DOWN,PAT018,CCG,VR,,533.0,,,542.0,542.0,547.0,547.0,556.0,556.0,,,571.0,571.0,583.0,583.0,592.0,592.0,601.0,,,,533.0
37,527,fast,UP,PAT054,VR,CCG,603.0,,,,594.0,594.0,589.0,589.0,580.0,580.0,,,565.0,565.0,553.0,553.0,544.0,544.0,,535.0,,,535.0
40,533,slow,UP,PAT015,VR,DDR,,,,,598.0,,590.0,590.0,578.0,578.0,571.0,571.0,563.0,563.0,556.0,556.0,550.0,550.0,,540.0,,,540.0
46,540,fast,UP,PAT058,ADH,CCG,563.0,,,,554.0,554.0,549.0,549.0,,540.0,,,,,,,,,,,,,540.0
45,540,slow,UP,PAT057,BYR,CCG,599.0,,593.0,593.0,582.0,582.0,574.0,574.0,562.0,562.0,555.0,555.0,547.0,547.0,,540.0,,,,,,,540.0
49,540,slow,DOWN,PAT024,DDR,VR,,,,,,540.0,548.0,548.0,560.0,560.0,567.0,567.0,578.0,578.0,582.0,582.0,589.0,589.0,598.0,,,,540.0
47,540,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,543.0,550.0,550.0,561.0,561.0,565.0,565.0,572.0,572.0,581.0,,,,543.0
42,540,fast,DOWN,PAT023,DDR,VR,,,,,,545.0,550.0,550.0,559.0,559.0,,,574.0,574.0,586.0,586.0,595.0,595.0,604.0,,,,545.0
39,533,fast,UP,PAT054,VR,CCG,615.0,,,,606.0,606.0,601.0,601.0,592.0,592.0,,,577.0,577.0,565.0,565.0,556.0,556.0,,547.0,,,547.0
48,540,fast,DOWN,PAT020,ADH,VR,,,,,,,,,,550.0,,,565.0,565.0,577.0,577.0,586.0,586.0,595.0,,,,550.0
43,540,slow,DOWN,PAT019,CCG,VR,,554.0,560.0,560.0,571.0,571.0,579.0,579.0,591.0,591.0,598.0,598.0,609.0,609.0,613.0,613.0,620.0,620.0,629.0,,,,554.0
44,540,fast,DOWN,PAT018,CCG,VR,,559.0,,,568.0,568.0,573.0,573.0,582.0,582.0,,,597.0,597.0,609.0,609.0,618.0,618.0,627.0,,,,559.0
41,540,fast,UP,PAT054,VR,CCG,627.0,,,,618.0,618.0,613.0,613.0,604.0,604.0,,,589.0,589.0,577.0,577.0,568.0,568.0,,559.0,,,559.0
50,540,slow,UP,PAT015,VR,DDR,,,,,617.0,,609.0,609.0,597.0,597.0,590.0,590.0,582.0,582.0,575.0,575.0,569.0,569.0,,559.0,,,559.0
